a,1064
c,638
b,17230
e,17211
d,79234
g,38853
f,23318
i,21260
h,119330
k,63764
j,21285
m,1176
l,66701
o,43368
n,8223
q,66779
p,23696
s,17886
r,70790
u,53585
t,1581
w,89895
v,65145
y,8730
x,27203
z,22540
